#loc_id;name;lat;lon;plz;adresse
25191;;536.934.006.954.926;965.420.891.685.491;25429,25436;
25758;;5.358.367;969.817;22880;
26035;;538.524.564.197.053;967.877.294.178.487;25364;
489;;541.591.308.763.995;104.112.556.338.311;;
13760;;541.508.969.608.122;103.449.319.704.826;24326;
14108;;542.050.398.276.889;101.753.696.967.095;24245;
14119;;544.050.867.592.085;103.230.090.647.937;24217;
14218;;543.503.189.074.916;10.604.865.527.153;24321;
14240;;540.986.526.033.976;102.605.556.015.491;24601;
14267;;543.669.488.826.277;104.205.361.962.319;24217;
14596;;5.428.224;1.065.836;24327;
14689;;5.407.957;100.593;24620;
14708;;541.401.533.602.515;104.899.364.556.551;24306;
14733;;542.431.576.781.301;101.300.171.032.006;24220;
14817;;542.035.468.948.908;101.342.241.480.405;24250;
14991;;543.862.106.596.134;102.487.472.951.413;24235;
15427;;542.409.577.037.115;105.410.953.372.717;24329;
15527;;541.176.487.558.431;103.363.038.663.387;24326;
15670;;543.183.126.508.236;102.812.731.027.603;24232;
15698;;541.631.353.952.082;103.619.337.145.805;24326;
16415;;543.502.641.931.476;103.378.113.865.853;24253;
16487;;543.793.174.147.247;103.430.597.990.752;24217;
17016;;543.180.060.109.664;105.051.403.254.271;24321;
17325;;541.980.695.425.125;104.937.161.266.804;24329;
17410;;542.250.887.703.464;101.675.591.040.581;24245;
17473;;5.411.898;1.004.895;24625;
18070;;543.723.325.826.753;102.087.811.589.242;24226;
18144;;542.886.150.877.064;105.964.923.411.608;24321;
18435;;542.519;1.061.575;24327;
18443;;543.713.472.684.405;103.707.368.433.476;24217;
18505;;543.702.654.378.341;104.959.210.217;24257;
18572;;543.204.513.980.808;106.709.281.380.653;24321;
18637;;542.283.689.504.467;101.880.377.698.869;24211;
19054;;5.411.826;1.028.126;24326;
19259;;542.119.111.247.408;101.411.992.325.837;24245;
19307;;5.420.375;1.068.053;23714;
19349;;5.429.636;1.053.426;24321;
19354;;543.082.189.315.693;102.147.724.241.018;24147,24222;
